Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1592726091648 0.478796854857167 -0.18443429562913025 -1.8602088229031726 
1592726091659 0.47647566495051624 -0.1811393415204601 -1.859373608422554 
1592726091669 0.4744587149839932 -0.17849521133886415 -1.8583999101189603 
1592726091679 0.4729545933583277 -0.17654410276985 -1.8573776343093018 
1592726091689 0.47221076996214795 -0.17545618511994704 -1.8564020088137174 
1592726091698 0.47229540398919934 -0.17527902324971492 -1.8555544013313077 
1592726091709 0.4729831212339331 -0.17550751522721653 -1.8548826626980899 
1592726091719 0.47387218367426676 -0.17563219385912257 -1.8543868023597927 
1592726091729 0.4745446771869311 -0.17546736925816733 -1.8540233470516472 
1592726091739 0.4747664739956737 -0.17502074237673373 -1.85375556602349 
1592726091748 0.4744834357366153 -0.17432959411917912 -1.8535960422463664 
1592726091759 0.4738053585916781 -0.17341584896953438 -1.8535157932996593 
1592726091769 0.4729606408984513 -0.17242065985590616 -1.8535007549413265 
1592726091779 0.47207059995005646 -0.17145768215816354 -1.8535674305402499 
1592726091789 0.4712755885784985 -0.17040036635432046 -1.8537249857625113 
1592726091798 0.470607470760498 -0.1693781800444272 -1.8539577669483673 
1592726091809 0.47019587454418216 -0.16870187283202698 -1.8541844433091426 
1592726091819 0.47011772942466656 -0.16840408501366472 -1.8543560412396602 
1592726091829 0.4703624057242046 -0.16831635000368453 -1.8544729386419891 
1592726091839 0.47070721758429673 -0.16819472519414272 -1.8545735242442936 
1592726091848 0.4709072818614353 -0.16782616645976514 -1.854603713002942 
1592726091859 0.47082739276102453 -0.16705903457285845 -1.8545407689942341 
1592726091869 0.4704735011452008 -0.16591037112541962 -1.854374257787509 
1592726091879 0.4698704564337713 -0.16452565531151042 -1.8540986111697721 
1592726091888 0.4690349816829883 -0.16302266911905977 -1.8537191187367004 
1592726091898 0.46812510909752975 -0.16155424624218287 -1.8532158707241262 
1592726091909 0.46731069035650785 -0.16019992825260593 -1.8525548581388573 
1592726091919 0.46668847138536523 -0.15900704747655242 -1.8517477981037556 
1592726091929 0.46620084384058724 -0.15796792317385477 -1.8508487172743087 
1592726091939 0.46565983157497143 -0.15707680410484726 -1.849915055833201 
1592726091948 0.4649333502313887 -0.1561909058576799 -1.8489477677042732 
1592726091959 0.46397492073815916 -0.15504209676409 -1.8478886359400453 
1592726091969 0.4628821545746666 -0.15323518417443294 -1.846836246927859 
1592726091979 0.4617192217610631 -0.15078752766159773 -1.845909760426838 
1592726091989 0.4604836093766478 -0.14802675735033957 -1.8450645457345576 
1592726091998 0.45910306405919743 -0.1451758883413528 -1.8441315363366024 
1592726092009 0.45750502158774176 -0.14230727746917773 -1.8430541984873727 
1592726092019 0.4557127206560766 -0.13939297387506863 -1.841827919780083 
1592726092029 0.45380222898439104 -0.13631938515077693 -1.840560827028052 
